OSKMcMycOpen,BSGMcMycOpen,GETMcMycOpen,GETME_EScMycOpen,GETME_TScMycOpen,OSKMcMycClose,BSGMcMycClose,GETMcMycClose,GETME_EScMycClose,GETME_TScMycClose
2810459M11Rik,AW549877,4930429B21Rik,6030419C18Rik,4921507P07Rik,Adcy6,Ppif,Abca4,Acad9,Acaa2
2810474O19Rik,AW554918,4930447C04Rik,6330416G13Rik,4921524J17Rik,Adcy8,Ramp3,Abcb4,Acadm,Acad9
3010026O09Rik,Aaas,4930452B06Rik,9130008F23Rik,4930402H24Rik,Add1,Rere,Abcc3,Acan,Acadl
3110009E18Rik,Aaed1,4930503L19Rik,9130019O22Rik,4930452B06Rik,Adh5,Rftn1,Abcc9,Acap2,Acadm
3110043O21Rik,Aagab,4931406P16Rik,9130023H24Rik,4930523C07Rik,Adora1,Rgcc,Abcd4,Acer2,Acan
3110082I17Rik,Aarsd1,4932438A13Rik,9130401M01Rik,4931406P16Rik,Adra1d,Rin3,Abcg1,Aco2,Acap2
4632428N05Rik,Aasdh,5330426P16Rik,9430015G10Rik,4931440P22Rik,Adsl,Rpl12,Abcg2,Acot1,Acer2
4921507P07Rik,Aasdhppt,5730409E04Rik,9430020K01Rik,4933434E20Rik,Afap1,Rpl39,Abi3bp,Acot11,Aco2
4930402H24Rik,Aatf,5730559C18Rik,9530068E07Rik,5330426P16Rik,Aff3,Rps2,Abl1,Acsbg1,Acot1
4930404N11Rik,Abca5,6330416G13Rik,A430005L14Rik,5730409E04Rik,Aga,Rsbn1l,Ablim1,Actg2,Acot11
4930447C04Rik,Abcb1b,6430548M08Rik,A430105I19Rik,5730559C18Rik,Ago3,Sec14l1,Abr,Actn1,Acox3
4930452B06Rik,Abcc1,9130008F23Rik,A930005H10Rik,6030458C11Rik,Agpat4,Sec16b,Abracl,Actr3,Acp1
4930503L19Rik,Abcc4,9130023H24Rik,AA467197,6330416G13Rik,Agpat9,Sema6b,Acaa2,Actr3b,Acsbg1
4931406P16Rik,Abcc5,9130401M01Rik,AI314180,8430419L09Rik,Agps,Sh3bgrl3,Acaca,Actr6,Acsl1
4933434E20Rik,Abcd3,9330182L06Rik,AI413582,9130008F23Rik,Agtrap,Slc12a8,Acads,Acvr1,Acss3
5031439G07Rik,Abce1,9430015G10Rik,AI593442,9130011E15Rik,Ahcyl2,Spen,Acan,Acvr2a,Actg2
5330426P16Rik,Abcf1,9430020K01Rik,AI607873,9130019O22Rik,Ahdc1,Spg7,Acap2,Adam10,Actn1
5730409E04Rik,Abcg2,9530068E07Rik,AU018091,9130023H24Rik,Ahr,Spsb2,Acbd3,Adam12,Actn2
5730559C18Rik,Abhd13,A430005L14Rik,Aaas,9130401M01Rik,Ak4,Srp54c,Acot1,Adam23,Actr3
6030419C18Rik,Abhd14a,A430105I19Rik,Aacs,9330182L06Rik,Akap13,Srsf9,Acsbg1,Adamts1,Actr3b
6430548M08Rik,Abhd15,A930005H10Rik,Aak1,9430020K01Rik,Akap6,Tcf7l2,Acsl4,Adamts5,Actr6
6720489N17Rik,Abhd16a,AA467197,Aamdc,9530068E07Rik,Akt3,Tmem119,Actg2,Adamts9,Acvr1
9030617O03Rik,Abhd17b,AI413582,Aard,A430105I19Rik,Aktip,Tmem143,Actn1,Adamtsl1,Acvr2a
9030624J02Rik,Abhd17c,AI464131,Aars,A830010M20Rik,Alcam,Tnfrsf10b,Actr3,Adamtsl3,Acyp2
9130008F23Rik,Abhd5,AI597479,Aars2,A930005H10Rik,Aldh1a2,Ttc28,Actr3b,Adamtsl4,Adam10
9130023H24Rik,Abi2,AI607873,Aarsd1,AA467197,Alx3,Tube1,Acvr1,Adar,Adam12
9330182L06Rik,Abi3,AU018091,Aasdh,AI607873,Amigo1,Ubap2,Acvr2a,Adck3,Adam23
9430015G10Rik,Abl1,Aaas,Aasdhppt,AU018091,Ammecr1,Ube3a,Acyp2,Adcy9,Adamts1
9430020K01Rik,Abr,Aacs,Abca1,AU040320,Ank3,Ubqln4,Adam10,Adcyap1r1,Adamts15
9530068E07Rik,Acad9,Aak1,Abca2,AW209491,Ankfy1,Ust,Adam12,Add2,Adamts5
9930012K11Rik,Acat1,Aard,Abca4,Aaas,Ankrd6,Vegfa,Adam17,Adipor1,Adamts9
A430005L14Rik,Acbd3,Aars,Abcb9,Aacs,Ano10,Whsc1l1,Adam19,Adpgk,Adamtsl1
A430033K04Rik,Acbd6,Aarsd1,Abcc1,Aak1,Ano4,Ydjc,Adam23,Adra1b,Adamtsl3
A430105I19Rik,Acly,Aasdh,Abcc10,Aamdc,Anxa3,Zcchc14,Adamts1,Adra2a,Adamtsl4
AA467197,Aco1,Aasdhppt,Abcc4,Aard,Anxa5,,Adamts12,Adsl,Adar
AI314180,Acot11,Abca1,Abcc5,Aars,Ap1m2,,Adamts5,Aebp2,Adck3
AI661453,Acot13,Abca2,Abce1,Aars2,Ap5m1,,Adamts6,Afap1,Adcy2
